a230327a_s14test,,,,,,
Points,Soak,Assured,t_2900,rH_2900,Q_2900,Julabo_HL
pt,soak,,HG2900.set_ts,HG2900.set_rh,HG2900.set_q,Julabo_HL.write_Tsp1
1,60,0,24.84,30,10,5.33
2,120,0,4.84,10,10,5.33
3,80,0,4.84,30,10,5.33
4,80,0,4.84,50,10,5.33
5,80,0,4.84,70,10,5.33
6,120,0,4.84,95,10,5.33
7,80,0,4.84,50,10,5.33
8,60,0,22.84,50,10,23.33
9,120,0,22.84,10,10,23.33
10,80,0,22.84,30,10,23.33
11,80,0,22.84,50,10,23.33
12,80,0,22.84,70,10,23.33
13,120,0,22.84,95,10,23.33
14,80,0,22.84,50,10,23.33
15,60,0,49.84,30,10,50.33
16,120,0,49.84,10,10,50.33
17,80,0,49.84,30,10,50.33
18,80,0,49.84,50,10,50.33
19,80,0,49.84,70,10,50.33
20,120,0,49.84,95,10,50.33
21,80,0,49.84,50,10,50.33
22,60,0,22.84,50,10,23.33
